
Size,Series,Class,Allowance,ExtMajMax,ExtMajMin,ExtPitchMax,ExtPitchMin,ExtUNRMax,IntMinorMin,IntMinorMax,IntPitchMin,IntPitchMax,IntMajorMin
7/8–9,UNC,2,0.0019,0.8731,0.8592,0.8009,0.7946,0.7408,0.755,0.778,0.8028,0.8110,0.8750
7/8–9,UNC,3,0.0000,0.8750,0.8611,0.8028,0.7981,0.7427,0.7550,0.7681,0.8028,0.8089,0.8750
7/8–10,UNS,2,0.0018,0.8732,0.8603,0.8082,0.8022,0.7542,0.767,0.788,0.8100,0.8178,0.8750
7/8–12,UN,2,0.0017,0.8733,0.8619,0.8192,0.8137,0.7741,0.785,0.803,0.8209,0.8281,0.8750
7/8–12,UN,3,0.0000,0.8750,0.8636,0.8209,0.8168,0.7758,0.7850,0.7948,0.8209,0.8263,0.8750
7/8–14,UNF,1,0.0016,0.8734,0.8579,0.8270,0.8189,0.7884,0.798,0.814,0.8286,0.8392,0.8750
7/8–14,UNF,2,0.0016,0.8734,0.8631,0.8270,0.8216,0.7884,0.798,0.814,0.8286,0.8356,0.8750
7/8–14,UNF,3,0.0000,0.8750,0.8647,0.8286,0.8245,0.7900,0.7980,0.8068,0.8286,0.8339,0.8750
7/8–16,UN,2,0.0015,0.8735,0.8641,0.8329,0.8280,0.7900,0.807,0.821,0.8344,0.8407,0.8750
7/8–16,UN,3,0.0000,0.8750,0.8656,0.8344,0.8308,0.8005,0.8070,0.8158,0.8344,0.8391,0.8750
7/8–18,UNS,2,0.0014,0.8736,0.8649,0.8375,0.8329,0.8075,0.815,0.828,0.8389,0.8449,0.8750
7/8–20,UNEF,2,0.0013,0.8737,0.8656,0.8412,0.8368,0.8142,0.821,0.832,0.8425,0.8482,0.8750
7/8–20,UNEF,3,0.0000,0.8750,0.8669,0.8425,0.8392,0.8155,0.8210,0.8287,0.8425,0.8468,0.8750
7/8–24,UNS,2,0.0012,0.8738,0.8666,0.8467,0.8426,0.8242,0.830,0.840,0.8479,0.8532,0.8750
7/8–27,UNS,2,0.0012,0.8738,0.8671,0.8497,0.8458,0.8297,0.835,0.844,0.8509,0.8560,0.8750
7/8–28,UN,2,0.0012,0.8738,0.8673,0.8506,0.8468,0.8312,0.836,0.845,0.8518,0.8568,0.8750
7/8–28,UN,3,0.0000,0.8750,0.8685,0.8518,0.8489,0.8324,0.8360,0.8426,0.8518,0.8555,0.8750
7/8–32,UN,2,0.0011,0.8739,0.8679,0.8536,0.8500,0.8367,0.841,0.849,0.8547,0.8594,0.8750
7/8–32,UN,3,0.0000,0.8750,0.8690,0.8547,0.8520,0.8378,0.8410,0.8469,0.8547,0.8583,0.8750
15/16–12,UN,2,0.0017,0.9358,0.9244,0.8817,0.8760,0.8366,0.847,0.865,0.8834,0.8908,0.9375
15/16–12,UN,3,0.0000,0.9375,0.9261,0.8834,0.8793,0.8383,0.8470,0.8575,0.8834,0.8889,0.9375
15/16–16,UN,2,0.0015,0.9360,0.9266,0.8954,0.8904,0.8615,0.870,0.884,0.8969,0.9034,0.9375
15/16–16,UN,3,0.0000,0.9375,0.9281,0.8969,0.8932,0.8630,0.8700,0.8783,0.8969,0.9018,0.9375
15/16–20,UNEF,2,0.0014,0.9361,0.9280,0.9036,0.8991,0.8766,0.883,0.895,0.9050,0.9109,0.9375
15/16–20,UNEF,3,0.0000,0.9375,0.9294,0.9050,0.9016,0.8780,0.8830,0.8912,0.9050,0.9094,0.9375
15/16–28,UN,2,0.0012,0.9363,0.9298,0.9131,0.9091,0.8937,0.899,0.907,0.9143,0.9195,0.9375
15/16–28,UN,3,0.0000,0.9375,0.9310,0.9143,0.9113,0.8949,0.8990,0.9051,0.9143,0.9182,0.9375
15/16–32,UN,2,0.0011,0.9364,0.9304,0.9161,0.9123,0.8992,0.904,0.911,0.9172,0.9221,0.9375
15/16–32,UN,3,0.0000,0.9375,0.9315,0.9172,0.9144,0.9003,0.9040,0.9094,0.9172,0.9209,0.9375
1–8,UNC,1,0.0020,0.9980,0.9755,0.9168,0.9067,0.8492,0.865,0.890,0.9188,0.9320,1.0000
1–8,UNC,2,0.0020,0.9980,0.9830,0.9168,0.9100,0.8492,0.865,0.890,0.9188,0.9276,1.0000
1–8,UNC,3,0.0000,1.0000,0.9850,0.9188,0.9137,0.8512,0.8650,0.8797,0.9188,0.9254,1.0000
1–10,UNS,2,0.0018,0.9982,0.9853,0.9332,0.9270,0.8792,0.892,0.913,0.9350,0.9430,1.0000
1–12,UNF,1,0.0018,0.9982,0.9810,0.9441,0.9353,0.8990,0.910,0.928,0.9459,0.9573,1.0000
1–12,UNF,2,0.0018,0.9982,0.9868,0.9441,0.9382,0.8990,0.910,0.928,0.9459,0.9535,1.0000
1–12,UNF,3,0.0000,1.0000,0.9886,0.9459,0.9415,0.9008,0.9100,0.9198,0.9459,0.9516,1.0000
1–14,UNS,1,0.0017,0.9983,0.9828,0.9519,0.9435,0.9132,0.923,0.938,0.9536,0.9645,1.0000
1–14,UNS,2,0.0017,0.9983,0.9880,0.9519,0.9463,0.9132,0.923,0.938,0.9536,0.9609,1.0000
1–14,UNS,3,0.0000,1.0000,0.9897,0.9536,0.9494,0.9149,0.9230,0.9315,0.9536,0.9590,1.0000
1–16,UN,2,0.0015,0.9985,0.9891,0.9579,0.9529,0.9240,0.932,0.946,0.9594,0.9659,1.0000
1–16,UN,3,0.0000,1.0000,0.9906,0.9594,0.9557,0.9255,0.9320,0.9408,0.9594,0.9643,1.0000
1–18,UNS,2,0.0014,0.9986,0.9899,0.9625,0.9578,0.9325,0.940,0.953,0.9639,0.9701,1.0000
1–20,UNEF,2,0.0014,0.9986,0.9905,0.9661,0.9616,0.9391,0.946,0.957,0.9675,0.9734,1.0000
1–20,UNEF,3,0.0000,1.0000,0.9919,0.9675,0.9641,0.9405,0.9460,0.9537,0.9675,0.9719,1.0000
1–24,UNS,2,0.0013,0.9987,0.9915,0.9716,0.9674,0.9491,0.955,0.965,0.9729,0.9784,1.0000
1–27,UNS,2,0.0012,0.9988,0.9921,0.9747,0.9707,0.9547,0.960,0.969,0.9759,0.9811,1.0000
1–28,UN,2,0.0012,0.9988,0.9923,0.9756,0.9716,0.9562,0.961,0.970,0.9768,0.9820,1.0000
1–28,UN,3,0.0000,1.0000,0.9935,0.9768,0.9738,0.9574,0.9610,0.9676,0.9768,0.9807,1.0000
1–32,UN,2,0.0011,0.9989,0.9929,0.9786,0.9748,0.9617,0.966,0.974,0.9797,0.9846,1.0000
1–32,UN,3,0.0000,1.0000,0.9940,0.9797,0.9769,0.9628,0.9660,0.9719,0.9797,0.9834,1.0000
