
Size,Series,Class,Allowance,ExtMajMax,ExtMajMin,ExtPitchMax,ExtPitchMin,ExtUNRMax,IntMinorMin,IntMinorMax,IntPitchMin,IntPitchMax,IntMajorMin
12–56,UNS,2,0.0007,0.2153,0.2112,0.2037,0.2012,0.1941,0.197,0.201,0.2044,0.2076,0.2160
1/4–20,UNC,1,0.0011,0.2489,0.2367,0.2164,0.2108,0.1894,0.196,0.207,0.2175,0.2248,0.2500
1/4–20,UNC,2,0.0011,0.2489,0.2408,0.2164,0.2127,0.1894,0.196,0.207,0.2175,0.2224,0.2500
1/4–20,UNC,3,0.0000,0.2500,0.2419,0.2175,0.2147,0.1905,0.1960,0.2067,0.2175,0.2211,0.2500
1/4–24,UNS,2,0.0011,0.2489,0.2417,0.2218,0.2181,0.1993,0.205,0.215,0.2229,0.2277,0.2500
1/4–27,UNS,2,0.0010,0.2490,0.2423,0.2249,0.2214,0.2049,0.210,0.219,0.2259,0.2304,0.2500
1/4–28,UNF,1,0.0010,0.2490,0.2392,0.2258,0.2208,0.2064,0.211,0.220,0.2268,0.2333,0.2500
1/4–28,UNF,2,0.0010,0.2490,0.2425,0.2258,0.2225,0.2064,0.211,0.220,0.2268,0.2311,0.2500
1/4–28,UNF,3,0.0000,0.2500,0.2435,0.2268,0.2243,0.2074,0.2110,0.2190,0.2268,0.2300,0.2500
1/4–32,UNEF,2,0.0010,0.2490,0.2430,0.2287,0.2255,0.2118,0.216,0.224,0.2297,0.2339,0.2500
1/4–32,UNEF,3,0.0000,0.2500,0.2440,0.2297,0.2273,0.2128,0.2160,0.2229,0.2297,0.2328,0.2500
1/4–36,UNS,2,0.0009,0.2491,0.2436,0.2311,0.2280,0.2161,0.220,0.226,0.2320,0.2360,0.2500
1/4–40,UNS,2,0.0009,0.2491,0.2440,0.2329,0.2300,0.2193,0.223,0.229,0.2338,0.2376,0.2500
1/4–48,UNS,2,0.0008,0.2492,0.2447,0.2357,0.2330,0.2243,0.227,0.232,0.2365,0.2401,0.2500
1/4–56,UNS,2,0.0008,0.2492,0.2451,0.2376,0.2350,0.2280,0.231,0.235,0.2384,0.2417,0.2500
5/16–18,UNC,1,0.0012,0.3113,0.2982,0.2752,0.2691,0.2452,0.252,0.265,0.2764,0.2843,0.3125
5/16–18,UNC,2,0.0012,0.3113,0.3026,0.2752,0.2712,0.2452,0.252,0.265,0.2764,0.2817,0.3125
5/16–18,UNC,3,0.0000,0.3125,0.3038,0.2764,0.2734,0.2464,0.2520,0.2630,0.2764,0.2803,0.3125
5/16–20,UN,2,0.0012,0.3113,0.3032,0.2788,0.2748,0.2518,0.258,0.270,0.2800,0.2852,0.3125
5/16–20,UN,3,0.0000,0.3125,0.3044,0.2800,0.2770,0.2530,0.2580,0.2680,0.2800,0.2839,0.3125
5/16–24,UNF,1,0.0011,0.3114,0.3006,0.2843,0.2788,0.2618,0.267,0.277,0.2854,0.2925,0.3125
5/16–24,UNF,2,0.0011,0.3114,0.3042,0.2843,0.2806,0.2618,0.267,0.277,0.2854,0.2902,0.3125
5/16–24,UNF,3,0.0000,0.3125,0.3053,0.2854,0.2827,0.2629,0.2670,0.2754,0.2854,0.2890,0.3125
5/16–27,UNS,2,0.0010,0.3115,0.3048,0.2874,0.2839,0.2674,0.272,0.281,0.2884,0.2929,0.3125
5/16–28,UN,2,0.0010,0.3115,0.3050,0.2883,0.2849,0.2689,0.274,0.282,0.2893,0.2937,0.3125
5/16–28,UN,3,0.0000,0.3125,0.3060,0.2893,0.2867,0.2699,0.2740,0.2807,0.2893,0.2926,0.3125
5/16–32,UNEF,2,0.0010,0.3115,0.3055,0.2912,0.2880,0.2743,0.279,0.286,0.2922,0.2964,0.3125
5/16–32,UNEF,3,0.0000,0.3125,0.3065,0.2922,0.2898,0.2753,0.2790,0.2847,0.2922,0.2953,0.3125
5/16–36,UNS,2,0.0009,0.3116,0.3061,0.2936,0.2905,0.2785,0.282,0.289,0.2945,0.2985,0.3125
5/16–40,UNS,2,0.0009,0.3116,0.3065,0.2954,0.2925,0.2818,0.285,0.291,0.2963,0.3001,0.3125
5/16–48,UNS,2,0.0008,0.3117,0.3072,0.2982,0.2955,0.2869,0.290,0.295,0.2990,0.3026,0.3125
3/8–16,UNC,1,0.0013,0.3737,0.3595,0.3331,0.3266,0.2992,0.307,0.321,0.3344,0.3429,0.3750
3/8–16,UNC,2,0.0013,0.3737,0.3643,0.3331,0.3287,0.2992,0.307,0.321,0.3344,0.3401,0.3750
3/8–16,UNC,3,0.0000,0.3750,0.3656,0.3344,0.3311,0.3005,0.3070,0.3182,0.3344,0.3387,0.3750
3/8–18,UNS,2,0.0013,0.3737,0.3650,0.3376,0.3333,0.3076,0.315,0.328,0.3389,0.3445,0.3750
3/8–20,UN,2,0.0012,0.3738,0.3657,0.3413,0.3372,0.3143,0.321,0.332,0.3425,0.3479,0.3750
3/8–20,UN,3,0.0000,0.3750,0.3669,0.3425,0.3394,0.3155,0.3210,0.3297,0.3425,0.3465,0.3750
3/8–24,UNF,1,0.0011,0.3739,0.3631,0.3468,0.3411,0.3243,0.330,0.340,0.3479,0.3553,0.3750
3/8–24,UNF,2,0.0011,0.3739,0.3667,0.3468,0.3430,0.3243,0.330,0.340,0.3479,0.3528,0.3750
3/8–24,UNF,3,0.0000,0.3750,0.3678,0.3479,0.3450,0.3254,0.3300,0.3372,0.3479,0.3516,0.3750
3/8–27,UNS,2,0.0011,0.3739,0.3672,0.3498,0.3462,0.3298,0.335,0.344,0.3509,0.3556,0.3750
3/8–28,UN,2,0.0011,0.3739,0.3674,0.3507,0.3471,0.3313,0.336,0.345,0.3518,0.3564,0.3750
3/8–28,UN,3,0.0000,0.3750,0.3685,0.3518,0.3491,0.3324,0.3360,0.3426,0.3518,0.3553,0.3750
3/8–32,UNEF,2,0.0010,0.3740,0.3680,0.3537,0.3503,0.3368,0.341,0.349,0.3547,0.3591,0.3750
3/8–32,UNEF,3,0.0000,0.3750,0.3690,0.3547,0.3522,0.3378,0.3410,0.3469,0.3547,0.3580,0.3750
3/8–36,UNS,2,0.0010,0.3740,0.3685,0.3560,0.3528,0.3409,0.345,0.352,0.3570,0.3612,0.3750
3/8–40,UNS,2,0.0009,0.3741,0.3690,0.3579,0.3548,0.3443,0.348,0.354,0.3588,0.3628,0.3750
0.390–27,UNS,2,0.0011,0.3889,0.3822,0.3648,0.3612,0.3448,0.350,0.359,0.3659,0.3706,0.3900
7/16–14,UNC,1,0.0014,0.4361,0.4206,0.3897,0.3826,0.3511,0.360,0.376,0.3911,0.4003,0.4375
7/16–14,UNC,2,0.0014,0.4361,0.4258,0.3897,0.3850,0.3511,0.360,0.376,0.3911,0.3972,0.4375
7/16–14,UNC,3,0.0000,0.4375,0.4272,0.3911,0.3876,0.3525,0.3600,0.3717,0.3911,0.3957,0.4375
7/16–16,UN,2,0.0014,0.4361,0.4267,0.3955,0.3909,0.3616,0.370,0.384,0.3969,0.4028,0.4375
7/16–16,UN,3,0.0000,0.4375,0.4281,0.3969,0.3935,0.3630,0.3700,0.3800,0.3969,0.4014,0.4375
7/16–18,UNS,2,0.0013,0.4362,0.4275,0.4001,0.3958,0.3701,0.377,0.390,0.4014,0.4070,0.4375
7/16–20,UNF,1,0.0013,0.4362,0.4240,0.4037,0.3975,0.3767,0.383,0.395,0.4050,0.4131,0.4375
7/16–20,UNF,2,0.0013,0.4362,0.4281,0.4037,0.3995,0.3767,0.383,0.395,0.4050,0.4104,0.4375
7/16–20,UNF,3,0.0000,0.4375,0.4294,0.4050,0.4019,0.3780,0.3830,0.3916,0.4050,0.4091,0.4375
7/16–24,UNS,2,0.0011,0.4364,0.4292,0.4093,0.4055,0.3868,0.392,0.402,0.4104,0.4153,0.4375
7/16–27,UNS,2,0.0011,0.4364,0.4297,0.4123,0.4087,0.3923,0.397,0.406,0.4134,0.4181,0.4375
7/16–28,UNEF,2,0.0011,0.4364,0.4299,0.4132,0.4096,0.3938,0.399,0.407,0.4143,0.4189,0.4375
7/16–28,UNEF,3,0.0000,0.4375,0.4310,0.4143,0.4116,0.3949,0.3990,0.4051,0.4143,0.4178,0.4375
7/16–32,UN,2,0.0010,0.4365,0.4305,0.4162,0.4128,0.3993,0.404,0.411,0.4172,0.4216,0.4375
7/16–32,UN,3,0.0000,0.4375,0.4315,0.4172,0.4147,0.4003,0.4040,0.4094,0.4172,0.4205,0.4375
1/2–12,UNS,2,0.0016,0.4984,0.4870,0.4443,0.4389,0.3992,0.410,0.428,0.4459,0.4529,0.5000
1/2–12,UNS,3,0.0000,0.5000,0.4886,0.4459,0.4419,0.4008,0.4100,0.4223,0.4459,0.4511,0.5000
